time,balance,dax
526,2028.0608958594532,1939.819946
527,2024.3285557018735,1936.25
528,1981.8817173402927,1895.650024
529,1996.8321372605262,1909.949951
530,1982.1744856943033,1895.930054
531,1928.373522236233,1844.469971
532,1941.5780566611045,1857.099976
533,1920.1245963901822,1836.579956
534,1929.8895579659954,1845.920044
535,1974.7409442308951,1888.819946
536,1972.5559072500064,1886.72998
537,1913.7785331135556,1830.51001
538,1889.617291237935,1807.400024
539,1906.4496430328554,1823.5
540,1869.7425312312987,1788.390015
541,1844.3058238382605,1764.060059
542,1878.786038314943,1797.040039
543,1888.8122446529728,1806.630005
544,1877.8869332443296,1796.180054
545,1887.0871612571707,1804.97998
546,1921.7974816443184,1838.180054
547,1903.1667911129937,1820.359985
548,1925.70760097552,1841.920044
549,1946.6486533748243,1861.949951
550,1943.4495231884227,1858.890015
551,1927.610334949767,1843.73999
552,1951.478808471377,1866.569946
553,1962.268329645561,1876.890015
554,1969.973580173065,1884.26001
555,1967.589833323817,1881.97998
556,2012.1068480810752,1924.560059
557,1989.8797362218074,1903.300049
558,2018.4947717016873,1930.670044
559,2019.6238540875888,1931.75
560,2009.0539734765016,1921.640015
561,2022.791716827062,1934.780029
562,2014.574187023117,1926.920044
563,2005.5620749360892,1918.300049
564,2044.8515148600761,1955.880005
565,2056.215977754246,1966.75
566,2023.2935318016227,1935.26001
567,2055.3378023328805,1965.910034
568,2050.0894264455387,1960.890015
569,2041.631453978937,1952.800049
570,2048.1970292234832,1959.079956
571,2007.1093781127802,1919.780029
572,2000.167314871742,1913.140015
573,1976.9156434141037,1890.900024
574,1996.7485441222439,1909.869995
575,2003.3978400547608,1916.22998
576,1983.1990442471852,1896.910034
577,1959.027338069685,1873.790039
578,1976.622876105582,1890.619995
579,1935.5664934872964,1851.349976
580,1924.965216834103,1841.209961
581,1929.910360065555,1845.939941
582,1914.2072192517132,1830.920044
583,1900.490405550401,1817.800049
584,1895.3779474472065,1812.910034
585,1919.3196773549078,1835.810059
586,1960.1354908063377,1874.849976
587,1991.5001682349011,1904.849976
588,2008.2593911934187,1920.880005
589,1997.0727074728707,1910.180054
590,1990.2037709772574,1903.609985
591,1970.6427079283906,1884.900024
592,1970.4963247968744,1884.76001
593,1942.4980913809661,1857.97998
594,1927.6417309918731,1843.77002
595,1934.4269457540265,1850.26001
596,1914.907615499457,1831.589966
597,1940.8984625129212,1856.449951
598,1900.396219515062,1817.709961
599,1885.2784857685751,1803.25
600,1917.0718493352967,1833.660034
601,1910.0983900521526,1826.98999
602,1906.156875724334,1823.219971
603,1936.1937608986368,1851.949951
604,1927.1711834642404,1843.319946
605,1920.2395845250815,1836.689941
606,1934.406015059289,1850.23999
607,1966.1784489767626,1880.630005
608,1942.4666963843492,1857.949951
609,1930.1195352812833,1846.140015
610,1909.6489018144343,1826.560059
611,1892.0323055341116,1809.709961
612,1894.7924128301638,1812.349976
613,1873.7781040447683,1792.25
614,1868.5820528032912,1787.280029
615,1886.4598938458305,1804.380005
616,1904.1913507113645,1821.339966
617,1937.3960996706296,1853.099976
618,1948.321538628961,1863.550049
619,1959.309641076327,1874.060059
620,1967.4853105362865,1881.880005
621,1973.7582460219992,1887.880005
622,1973.151908259907,1887.300049
623,1998.013545337782,1911.079956
624,1970.4022663112237,1884.670044
625,1998.2853829970554,1911.339966
626,1998.2017898587726,1911.26001
627,2014.856361434582,1927.189941
628,2014.7309079523138,1927.069946
629,2011.6258362515634,1924.099976
630,2014.9505474699213,1927.280029
631,1990.632458160905,1904.02002
632,1988.8969094177342,1902.359985
633,2016.9996656211733,1929.23999
634,2019.7283779206086,1931.849976
635,2020.3348432323887,1932.430054
636,2016.8115496953596,1929.060059
637,2051.323031618971,1962.069946
638,2051.4798811433448,1962.219971
639,2038.871346682885,1950.160034
640,2028.060895859453,1939.819946
641,2010.1308577207371,1922.670044
