time,balance,dax
203,1199.63858,1288.439941
204,1199.63858,1297.599976
205,1199.63858,1288.109985
206,1199.63858,1290.069946
207,1199.63858,1308.089966
208,1199.63858,1319.25
209,1199.63858,1314.709961
210,1199.63858,1308.25
211,1199.63858,1304.969971
212,1194.803135,1299.709961
213,1172.712816,1275.680054
214,1185.297765,1289.369995
215,1168.43812,1271.030029
216,1180.912761,1284.599976
217,1179.818866,1283.410034
218,1164.659875,1266.920044
219,1151.045218,1252.109985
220,1151.707076,1252.829956
221,1163.262544,1265.400024
222,1159.475097,1261.280029
223,1175.075327,1278.25
224,1183.109864,1286.98999
225,1172.12446,1275.040039
226,1179.51543,1283.079956
227,1177.097708,1280.449951
228,1172.703613,1275.670044
229,1159.723322,1261.550049
230,1157.553711,1259.189941
231,1170.947749,1273.76001
232,1178.164109,1281.609985
233,1169.412503,1272.089966
234,1177.89748,1281.319946
235,1188.368144,1292.709961
236,1195.676522,1300.660034
237,1193.249598,1298.02002
238,1195.768429,1300.76001
239,1188.846189,1293.22998
240,1184.121054,1288.089966
241,1190.032103,1294.52002
242,1178.78007,1282.280029
243,1193.516227,1298.310059
244,1204.61194,1310.380005
245,1224.045627,1331.52002
246,1215.008988,1321.689941
247,1217.85886,1324.790039
248,1219.15497,1326.199951
249,1234.102544,1342.459961
250,1224.8454,1332.390015
251,1222.859713,1330.22998
252,1218.934351,1325.959961
253,1247.156451,1356.660034
254,1259.217458,1369.780029
255,1261.625978,1372.400024
256,1246.99093,1356.47998
257,1256.744525,1367.089966
258,1240.942079,1349.900024
259,1243.267896,1352.430054
260,1250.787579,1360.609985
261,1247.193146,1356.699951
262,1235.132138,1343.579956
263,1221.057953,1328.27002
264,1210.633298,1316.930054
265,1231.822737,1339.97998
266,1222.473686,1329.810059
267,1207.287089,1313.290039
268,1219.531908,1326.609985
269,1237.016717,1345.630005
270,1223.383769,1330.800049
271,1233.514189,1341.819946
272,1228.108792,1335.939941
273,1217.445115,1324.339966
274,1200.52117,1305.930054
275,1207.62722,1313.660034
276,1221.71981,1328.98999
277,1225.093624,1332.660034
278,1236.253751,1344.800049
279,1247.046141,1356.540039
280,1240.776559,1349.719971
281,1238.43245,1347.170044
282,1227.704361,1335.5
283,1226.288627,1333.959961
284,1214.558548,1321.199951
285,1215.836367,1322.589966
286,1213.391152,1319.930054
287,1214.218418,1320.829956
288,1204.804954,1310.589966
289,1191.493733,1296.109985
290,1170.322586,1273.079956
291,1180.774845,1284.449951
292,1167.197109,1269.680054
293,1185.683905,1289.790039
294,1200.355649,1305.75
295,1198.06664,1303.26001
296,1217.950767,1324.890015
297,1225.102826,1332.670044
298,1223.576783,1331.01001
299,1208.555706,1314.670044
300,1209.649601,1315.859985
